date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:45	60776/60776	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2016:28:20%20GMT	https://thememxpro.com/html/hactora/index.html	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/index.html	(from )
21:32:45	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Jul%202023%2016:02:40%20GMT	https://thememxpro.com/robots.txt		(from )
21:32:46	140936/140936	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Aug%202018%2016:21:46%20GMT	https://thememxpro.com/html/hactora/css/bootstrap.css	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/css/bootstrap.css	(from https://thememxpro.com/html/hactora/index.html)
21:32:46	6951/6951	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20Oct%202019%2013:16:32%20GMT	https://thememxpro.com/html/hactora/css/magnific-popup.css	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/css/magnific-popup.css	(from https://thememxpro.com/html/hactora/index.html)
21:32:46	114485/114485	---M-Z	200	added ('OK')	text/css	date:Sun,%2028%20May%202023%2018:22:38%20GMT	https://thememxpro.com/html/hactora/css/style.css	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/css/style.css	(from https://thememxpro.com/html/hactora/index.html)
21:32:47	10167/10167	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20May%202023%2015:51:46%20GMT	https://thememxpro.com/html/hactora/css/responsive.css	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/css/responsive.css	(from https://thememxpro.com/html/hactora/index.html)
21:32:47	1300/1300	---M--	200	added ('OK')	image/png	date:Thu,%2004%20May%202023%2014:11:38%20GMT	https://thememxpro.com/html/hactora/images/favicon.png	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/images/favicon.png	(from https://thememxpro.com/html/hactora/index.html)
21:32:47	4694/4694	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Dec%202022%2016:55:44%20GMT	https://thememxpro.com/html/hactora/images/logo.png	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/images/logo.png	(from https://thememxpro.com/html/hactora/index.html)
21:32:47	67558/67558	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2016:28:26%20GMT	https://thememxpro.com/html/hactora/index2.html	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/index2.html	(from https://thememxpro.com/html/hactora/index.html)
21:32:47	34935/34935	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2015:42:44%20GMT	https://thememxpro.com/html/hactora/about.html	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/about.html	(from https://thememxpro.com/html/hactora/index.html)
21:32:48	27926/27926	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2015:43:38%20GMT	https://thememxpro.com/html/hactora/team.html	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/team.html	(from https://thememxpro.com/html/hactora/index.html)
21:32:48	28699/28699	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2015:43:40%20GMT	https://thememxpro.com/html/hactora/testimonials.html	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/testimonials.html	(from https://thememxpro.com/html/hactora/index.html)
21:32:48	32192/32192	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2015:43:30%20GMT	https://thememxpro.com/html/hactora/project.html	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/project.html	(from https://thememxpro.com/html/hactora/index.html)
21:32:49	26496/26496	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2015:43:26%20GMT	https://thememxpro.com/html/hactora/project-details.html	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/project-details.html	(from https://thememxpro.com/html/hactora/index.html)
21:32:50	23901/23901	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2015:43:20%20GMT	https://thememxpro.com/html/hactora/faq.html	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/faq.html	(from https://thememxpro.com/html/hactora/index.html)
21:32:50	19340/19340	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2015:42:56%20GMT	https://thememxpro.com/html/hactora/error.html	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/error.html	(from https://thememxpro.com/html/hactora/index.html)
21:32:50	26145/26145	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2015:43:36%20GMT	https://thememxpro.com/html/hactora/service.html	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/service.html	(from https://thememxpro.com/html/hactora/index.html)
21:32:51	33078/33078	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2015:43:32%20GMT	https://thememxpro.com/html/hactora/service-details.html	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/service-details.html	(from https://thememxpro.com/html/hactora/index.html)
21:32:51	30833/30833	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2015:42:50%20GMT	https://thememxpro.com/html/hactora/blog.html	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/blog.html	(from https://thememxpro.com/html/hactora/index.html)
21:32:51	35235/35235	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2015:42:42%20GMT	https://thememxpro.com/html/hactora/blog-classic.html	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/blog-classic.html	(from https://thememxpro.com/html/hactora/index.html)
21:32:51	36260/36260	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2015:42:34%20GMT	https://thememxpro.com/html/hactora/blog-details.html	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/blog-details.html	(from https://thememxpro.com/html/hactora/index.html)
21:32:51	23416/23416	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2015:42:54%20GMT	https://thememxpro.com/html/hactora/contact.html	C:/My%20Web%20Sites/Hi/thememxpro.com/html/hactora/contact.html	(from https://thememxpro.com/html/hactora/index.html)
